,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
19,2.094757209,-1.177447405,2.582531723,-0.733232607,4.106058699,0.275567998,5.128103363,1.040601363,5.315627469,1.230630577,4.988958935,0.976632191
20,1.948004013,-1.238703005,2.515914388,-0.817320193,3.868519498,0.279724631,4.882875498,0.911865443,5.095214801,1.100395605,4.868478127,0.882877934
21,2.046313868,-1.139798653,2.671014173,-0.69374076,4.077753835,0.32717063,5.003213099,1.065475472,5.199010303,1.25638439,4.985903797,1.032973901
22,2.155976433,-1.056427923,2.733771143,-0.68390292,3.88883429,0.236741594,4.924113191,1.023040288,5.217519953,1.091627297,4.838664459,0.928990975
23,1.847075226,-1.187097252,2.401938294,-0.778406279,3.624949243,0.01953336,4.434060746,0.704310318,4.716817149,0.912965694,4.423342874,0.687937296
24,1.955366666,-1.196240437,2.337898247,-0.874314326,3.460843075,-0.00447397,4.332288731,0.558684869,4.5493887,0.734497636,4.382445732,0.655454727
25,1.908172094,-1.222235721,2.316045312,-0.948133847,3.230631274,-0.11890729,3.952350168,0.433570334,4.193174607,0.5851075,4.137022073,0.535711058
26,1.83434773,-1.182142489,2.187204609,-0.806880187,3.185865056,-0.130733547,3.852716372,0.440427019,4.239330184,0.617823727,4.041229523,0.442332156
27,1.972290646,-1.06233502,2.269633772,-0.797479145,3.277876596,-0.038150581,3.962081161,0.534193458,4.260308024,0.620932397,4.056839166,0.529054175
28,2.007284006,-1.142894513,2.369071076,-0.812972712,3.239489332,-0.101373673,3.908810681,0.432171573,4.102049828,0.568775261,4.013886612,0.441717236
29,1.940194243,-1.060476452,2.219304212,-0.833105318,3.164774777,-0.132548782,3.751341639,0.372586115,3.887300989,0.441137774,3.871413015,0.43980791
30,1.928899752,-1.09819043,2.225612227,-0.789468696,2.976901101,-0.215209191,3.593786066,0.285905155,3.770150939,0.425207078,3.769178132,0.340381494
31,1.911719777,-1.069342145,2.268673207,-0.806515079,2.934045795,-0.219547392,3.648114934,0.257046378,3.783090288,0.459493308,3.731834708,0.368693456
32,1.920873542,-1.159845995,2.185532493,-0.900925094,2.719232775,-0.369231028,3.372455833,0.068978406,3.573673303,0.229877735,3.488935102,0.226514795
33,1.880249172,-1.080400151,2.059334395,-0.845572924,2.700550784,-0.305763154,3.144619414,0.058738458,3.340590386,0.2425614,3.365229089,0.166271798
34,1.437608843,-1.159817253,1.713886598,-0.962797353,2.454421642,-0.369021314,2.90097422,0.091029532,3.190900996,0.225733176,3.299574508,0.194157504
35,1.294209754,-1.130733554,1.601146692,-0.854129251,2.125021218,-0.488416889,2.699305135,-0.099847188,2.899231697,0.114020845,3.062136105,0.187014864
36,1.225308712,-1.175453582,1.378754443,-1.074967251,1.878694594,-0.548134403,2.275422743,-0.303696345,2.526258759,-0.050324179,2.745657305,0.033215742
37,0.909720496,-1.267981753,1.022208264,-1.14009386,1.522741514,-0.59542564,2.052175766,-0.245606571,2.462906836,0.023559543,2.678395436,0.079343885
38,1.294227815,-1.162265157,1.455127748,-1.145111897,1.837709423,-0.732955098,2.205238869,-0.425338848,2.482257526,-0.237119496,2.703050591,-0.064725116
39,1.126053921,-1.430777457,1.29924084,-1.308497398,1.936665258,-0.735914905,2.341459015,-0.354175291,2.75741377,0.001281206,3.016229254,0.109117824
40,1.129875562,-1.428863246,1.207465038,-1.390292729,2.012015104,-0.731867126,2.553676663,-0.233692454,2.96520478,0.002244182,3.096579569,0.107289612
41,1.478376271,-0.90173683,1.775631481,-0.832038184,2.185457998,-0.2875919,2.69386665,0.085748491,2.917154182,0.33575713,3.051441624,0.361985429
42,0.758910418,-1.570494648,0.914229518,-1.457253264,1.591426705,-1.027138629,2.159128294,-0.494829915,2.498961432,-0.22572962,2.628339728,-0.095560009
43,0.763480176,-1.61237685,1.109282147,-1.272785036,1.799693373,-0.752745995,2.505669455,-0.256550546,2.796966031,0.018720819,2.925506212,0.172853746
44,0.845535593,-1.336093688,1.243989808,-0.96238679,2.286174813,-0.218568158,3.095616613,0.489211714,3.542218069,0.792704054,3.58667012,0.778405934
45,1.566156119,-0.865984041,2.148371823,-0.427086222,3.385389291,0.575652386,4.423083202,1.288307224,4.89979639,1.629087408,4.726226109,1.442742294
46,1.800662517,-1.017690632,2.306038262,-0.454148917,3.572088022,0.406831841,4.644856602,1.167968195,4.849761121,1.326084263,4.545777865,1.215663826
47,1.851835907,-0.550345439,2.494506206,-0.07304357,3.846767883,0.944439517,4.907312401,1.755902316,5.133343521,1.887919387,4.734133617,1.66547626
48,1.690127652,-0.293643559,2.443719687,0.253196971,4.074442783,1.499410196,5.37445597,2.405594027,5.515154705,2.641961265,5.048043679,2.220262368
49,2.098543717,-0.42948477,2.827942556,0.061255194,4.399337047,1.272041677,5.527536058,2.250382712,5.779237019,2.284560994,5.329931911,2.019495357
50,2.850770115,-0.0099291,3.679534429,0.598975621,5.450895908,1.844359483,6.738688016,2.818447607,6.733360813,2.927095734,6.17267376,2.48122155
51,2.96836698,-0.230771768,3.466643682,0.150912746,4.615707354,1.114061128,5.585164447,1.849713912,5.532650215,1.857171191,5.103541263,1.576184508
52,2.768588938,-0.038682483,3.183005526,0.211041544,4.175976588,0.952594148,4.879257864,1.474007635,4.860079319,1.486437339,4.632287284,1.352256669
53,2.50691908,0.236813144,3.019796665,0.521179469,4.075167501,1.387900923,4.828589988,1.995538209,4.761399693,2.034744858,4.515462414,1.746927399
54,3.011445896,0.492263778,3.366860397,0.793128402,4.44678998,1.662382441,5.316176734,2.271521666,5.365623801,2.189313131,5.029812098,1.978067997
55,2.752323385,0.174512028,3.115322932,0.574140193,4.342781021,1.386000829,4.974081224,2.060683118,5.097140213,2.094478588,4.758862541,1.782563318
56,3.008592902,0.460478482,3.423355732,0.805504779,4.666955811,1.565284929,5.417541923,2.343679872,5.429141728,2.228563031,5.06844313,1.964288876
57,3.074910971,0.28673121,3.580885313,0.606800019,4.571913224,1.437232352,5.538368172,2.116346452,5.624464831,2.274616353,5.315970785,2.031295198
58,3.150001123,0.216357951,3.822320466,0.659700562,5.220023989,1.735517303,6.326459455,2.567649787,6.445432118,2.695132526,6.030294437,2.405594189
59,3.281866554,0.059556248,3.789598203,0.431905092,4.81150952,1.418527087,5.813700822,2.059863419,5.860888358,2.147015564,5.618732865,2.020695799
60,3.844793694,0.21389217,4.263055705,0.512010406,5.231788413,1.366573847,6.06080968,1.946503724,6.00791007,2.013014383,5.772285043,1.818874263
61,3.801080053,0.236562206,4.10593568,0.359772853,4.842059095,1.102856807,5.33225858,1.425729054,5.44401382,1.457753489,5.201206261,1.535017142
62,3.797484079,0.467368979,4.128383382,0.856368395,5.067234833,1.59368669,5.730375291,2.045025738,5.686880331,2.116837873,5.530662443,1.983732298
63,3.626586119,0.806448802,4.090043112,1.08451525,5.120507904,2.014317049,5.921576093,2.634564724,5.920101862,2.591132057,5.589342485,2.325300984
