,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
61,3.260225628,-0.35759177,3.431917578,-0.257145811,3.839815239,0.034114106,4.133317557,0.2448133,4.193934547,0.292057957,4.065423158,0.200730082
62,3.198993476,-0.062456954,3.441071,0.13014503,4.006581065,0.537508421,4.45891106,0.840421201,4.503892048,0.872430384,4.292752908,0.72354319
63,3.062906109,0.244930603,3.390553759,0.470316238,4.112429021,0.973518439,4.671853937,1.327782319,4.701479229,1.367786856,4.383682382,1.15032913
64,3.036987694,0.346606993,3.383554894,0.580731038,4.024192557,1.048891165,4.55408924,1.399107524,4.598908391,1.443501844,4.335682249,1.251043573
65,3.152915762,0.02322888,3.491080706,0.236035407,4.175122729,0.715754832,4.715590294,1.092391647,4.825214042,1.170270307,4.57818919,1.003511895
66,3.783103742,0.293371752,4.096589066,0.50786837,4.803891818,0.984817113,5.315288725,1.334356528,5.3097434,1.342516683,4.982833223,1.11909565
67,4.171124299,0.499981798,4.554791861,0.755562453,5.323610595,1.294377021,5.887509712,1.65829457,5.827220391,1.632595261,5.414233362,1.348459533
68,3.631367831,0.187650095,3.951226602,0.429049482,4.59576862,0.874331429,5.104505803,1.216904772,5.143772684,1.238003713,4.855284836,1.046605638
69,3.785625892,0.328341103,4.118010155,0.520716249,4.806884416,1.010601925,5.350871548,1.368092188,5.377564956,1.392597869,5.084776308,1.194338403
70,3.840683024,0.225580948,4.170407906,0.44892819,4.865075413,0.93064236,5.388264263,1.296452107,5.443553353,1.336945509,5.156575833,1.139075745
71,3.928896713,0.383708367,4.296529878,0.665085967,5.067310907,1.18426971,5.654102037,1.595852048,5.687497448,1.60727061,5.353215094,1.375789741
72,3.160758216,0.223209214,3.568546507,0.497143953,4.40553735,1.070390453,5.051751881,1.523049836,5.155515775,1.584750837,4.84689167,1.372854593
73,2.619533692,0.116286519,3.044438581,0.404764528,3.946076634,1.006470668,4.649850938,1.505206469,4.83369432,1.628784829,4.5481063,1.434671234
74,1.718677768,-0.301443692,2.021941551,-0.099588772,2.644905793,0.331664146,3.19821252,0.720442641,3.479858371,0.918160177,3.42215372,0.87106454
75,0.965280291,-0.603699326,1.320227436,-0.400561678,2.044655427,0.097641576,2.696205288,0.56189015,3.069426502,0.825720537,3.044578486,0.805340747
76,0.94032606,-0.649207687,1.259971928,-0.409088414,2.009160991,0.10973346,2.67654794,0.558382813,3.047807372,0.819483491,3.023877142,0.79815154
77,0.867645048,-0.663176601,1.128434897,-0.490651679,1.727543211,-0.075407659,2.288296736,0.321387933,2.675389043,0.586137763,2.716158975,0.61082023
78,0.714547164,-0.735561877,0.94760252,-0.611279064,1.428157318,-0.255478273,1.948514937,0.090381302,2.356733995,0.369714179,2.452135016,0.43838596
79,0.600988198,-0.854816785,0.815362567,-0.694155711,1.348024773,-0.338613131,1.873172327,0.027913006,2.298898368,0.314109956,2.417749503,0.403339623
80,0.486936803,-0.92030212,0.697206612,-0.776747718,1.194724865,-0.430217138,1.715325969,-0.073208997,2.149624421,0.225456617,2.298354448,0.327491976
81,0.488858807,-0.908039831,0.692330103,-0.75597671,1.17703855,-0.427331148,1.675641297,-0.094427508,2.114854725,0.21223422,2.268292557,0.323680557
82,0.561881475,-0.870076231,0.768538617,-0.687116924,1.297927801,-0.32244019,1.846562808,0.040320163,2.277586758,0.341302308,2.403073725,0.4189974
83,0.659294233,-0.759737761,0.876365615,-0.598524018,1.403033216,-0.278329954,1.905948857,0.085349328,2.312218405,0.365794756,2.416693267,0.441379453
84,0.645583886,-0.781381575,0.817415461,-0.652732507,1.241608071,-0.366854632,1.678415861,-0.05880343,2.089522682,0.213589283,2.236635731,0.314740296
85,0.66490645,-0.770702997,0.842256513,-0.643892758,1.258072268,-0.35776469,1.705488451,-0.047764689,2.095876305,0.228885017,2.244118877,0.323397896
86,0.552980212,-0.560467764,0.605221663,-0.565350617,0.719083255,-0.4559253,0.92877769,-0.314924431,1.247889076,-0.090645867,1.457004812,0.045954195
87,0.872086853,-0.462695635,1.032462518,-0.361218196,1.385543995,-0.114585448,1.747205095,0.130140145,2.038771797,0.336669489,2.127278157,0.394435551
88,0.786995392,-0.500600663,0.917689873,-0.412483748,1.260831131,-0.204569653,1.600119691,0.049999711,1.901620466,0.249824847,2.015369962,0.334912951
89,0.81322788,-0.485707648,0.901685048,-0.436202128,1.132763911,-0.258602182,1.3941307,-0.090670967,1.695140819,0.119300811,1.837686901,0.217132852
90,0.754430829,-0.533482164,0.833629268,-0.472528814,1.044749333,-0.326768435,1.30808809,-0.14601448,1.606044523,0.078140065,1.76749217,0.177505298
91,0.772854154,-0.492944758,0.834493443,-0.481153676,0.977433445,-0.360000735,1.198124224,-0.20603447,1.486113855,-0.010025901,1.66782054,0.118251058
92,0.722073183,-0.505893971,0.736605969,-0.509296984,0.814812466,-0.460801743,0.937553488,-0.386854507,1.234207055,-0.176213655,1.460147213,-0.018698795
93,0.777000454,-0.496126521,0.809616895,-0.475855543,0.884603142,-0.404288019,1.04973862,-0.290187048,1.337920482,-0.096447672,1.5451851,0.040982086
94,0.657251778,-0.556289268,0.671850639,-0.560204607,0.676498707,-0.540805835,0.817915143,-0.450041768,1.10985897,-0.24906217,1.357533564,-0.077887212
95,0.54045969,-0.640542507,0.503507093,-0.669477197,0.472310135,-0.678232165,0.555297272,-0.611920608,0.894287486,-0.387505158,1.183229262,-0.191391464
96,0.50133327,-0.657319764,0.46887052,-0.676077187,0.475156698,-0.662462229,0.580301296,-0.593791243,0.920814683,-0.366045969,1.202075722,-0.169392985
97,0.514766124,-0.661330115,0.490881052,-0.674895796,0.513762818,-0.650793122,0.637233364,-0.549483042,0.969230955,-0.323909434,1.243959959,-0.135851038
98,0.461973188,-0.665988029,0.519110655,-0.630577692,0.675164742,-0.527087751,0.891439493,-0.382314127,1.250638954,-0.12907306,1.483037531,0.0336588
